packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
21.0,17.0,1670.0,6053.0,1.0,6.0,1.0,5.0,4.0,13.0,786.0,5361.0,778.0,540.0,221.0,96.0,408.0,1420.0,139.0,549.0,743.0,507.0,amazon-amazon-echo-dot-with-clock-gen3
24.0,22.0,1762.0,20029.0,1.0,5.0,1.0,11.0,4.0,18.0,770.0,19137.0,677.0,411.0,221.0,96.0,392.0,4260.0,133.0,853.0,642.0,379.0,amazon-amazon-echo-dot-with-clock-gen3
19.0,17.0,1565.0,5604.0,1.0,5.0,1.0,5.0,4.0,12.0,773.0,4912.0,865.0,539.0,221.0,96.0,395.0,1420.0,134.0,540.0,827.0,505.0,amazon-amazon-echo-dot-with-clock-gen3
4296.0,2873.0,173649.0,11911254.0,1.0,6.0,1.0,2861.0,4.0,2869.0,805.0,11796322.0,4.0,5.0,221.0,96.0,427.0,65320.0,146.0,3804.0,77.0,74.0,amazon-amazon-echo-dot-with-clock-gen3
14.0,11.0,1609.0,7409.0,1.0,1.0,1.0,5.0,4.0,6.0,1017.0,6957.0,70.0,74.0,202.0,1360.0,658.0,2570.0,240.0,803.0,79.0,86.0,amazon-amazon-echo-dot-with-clock-gen3
14.0,11.0,1609.0,7409.0,1.0,1.0,1.0,5.0,4.0,6.0,1017.0,6957.0,74.0,78.0,202.0,1360.0,658.0,2570.0,240.0,803.0,80.0,91.0,amazon-amazon-echo-dot-with-clock-gen3
14.0,11.0,1609.0,7409.0,1.0,1.0,1.0,6.0,4.0,7.0,1017.0,6957.0,68.0,71.0,202.0,1360.0,658.0,1360.0,240.0,497.0,71.0,83.0,amazon-amazon-echo-dot-with-clock-gen3
14.0,14.0,1609.0,7529.0,1.0,1.0,1.0,6.0,4.0,7.0,1017.0,6957.0,80.0,66.0,202.0,1360.0,658.0,1360.0,240.0,497.0,90.0,92.0,amazon-amazon-echo-dot-with-clock-gen3
19738.0,56712.0,1026937.0,90275962.0,0.0,4.0,0.0,56670.0,3.0,56678.0,553.0,87326930.0,3.0,1.0,214.0,1408.0,214.0,11264.0,41.0,1238.0,13.0,15.0,amazon-amazon-echo-dot-with-clock-gen3
1836.0,1444.0,1232449.0,869724.0,94.0,186.0,1102.0,459.0,1213.0,769.0,1157297.0,811952.0,651.0,912.0,214.0,1360.0,1360.0,24536.0,818.0,765.0,610.0,882.0,amazon-amazon-echo-dot-with-clock-gen3
16.0,13.0,2250.0,6319.0,2.0,1.0,3.0,5.0,6.0,8.0,1578.0,5787.0,51.0,64.0,428.0,1360.0,586.0,1772.0,227.0,620.0,67.0,80.0,amazon-amazon-echo-dot-with-clock-gen3
37.0,31.0,4310.0,8646.0,13.0,13.0,1.0,6.0,17.0,19.0,2378.0,7026.0,32882.0,45167.0,191.0,1408.0,1408.0,1408.0,410.0,685.0,32801.0,45242.0,amazon-amazon-echo-dot-with-clock-gen3
13.0,15.0,1592.0,7409.0,1.0,2.0,1.0,6.0,4.0,8.0,908.0,6621.0,31.0,26.0,204.0,1408.0,547.0,1408.0,194.0,550.0,83.0,79.0,amazon-amazon-echo-dot-with-clock-gen3
22.0,18.0,6568.0,5496.0,2.0,5.0,5.0,4.0,9.0,11.0,5656.0,4764.0,58.0,62.0,417.0,96.0,1360.0,1360.0,565.0,588.0,70.0,74.0,amazon-amazon-echo-dot-with-clock-gen3
26.0,23.0,11508.0,5792.0,2.0,5.0,8.0,4.0,13.0,12.0,10368.0,4860.0,68.0,69.0,417.0,96.0,1360.0,1360.0,591.0,593.0,119.0,110.0,amazon-amazon-echo-dot-with-clock-gen3
29.0,21.0,16387.0,5616.0,2.0,5.0,12.0,4.0,16.0,11.0,15195.0,4764.0,45.0,54.0,417.0,96.0,1360.0,1360.0,586.0,588.0,69.0,73.0,amazon-amazon-echo-dot-with-clock-gen3
21.0,20.0,5579.0,5576.0,2.0,5.0,4.0,4.0,8.0,11.0,4707.0,4764.0,60.0,55.0,417.0,96.0,1360.0,1360.0,575.0,588.0,69.0,71.0,amazon-amazon-echo-dot-with-clock-gen3
19.0,20.0,2718.0,5576.0,2.0,5.0,2.0,4.0,6.0,11.0,1926.0,4764.0,88.0,72.0,417.0,96.0,1164.0,1360.0,398.0,588.0,99.0,79.0,amazon-amazon-echo-dot-with-clock-gen3
193.0,234.0,53110.0,29086.0,77.0,80.0,55.0,15.0,137.0,114.0,45358.0,19714.0,9331.0,7689.0,214.0,1360.0,1360.0,3302.0,211.0,1133.0,9287.0,7645.0,amazon-amazon-echo-dot-with-clock-gen3
49.0,27.0,5131.0,8627.0,19.0,19.0,1.0,5.0,23.0,24.0,2575.0,7215.0,36036.0,66521.0,191.0,1408.0,1408.0,2443.0,416.0,898.0,35960.0,57183.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,22.0,13088.0,5656.0,2.0,5.0,10.0,4.0,14.0,11.0,11976.0,4764.0,48.0,51.0,417.0,96.0,1360.0,1360.0,584.0,588.0,65.0,71.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,23.0,13193.0,5696.0,2.0,5.0,10.0,4.0,14.0,11.0,12081.0,4764.0,50.0,50.0,417.0,96.0,1360.0,1360.0,584.0,588.0,70.0,60.0,amazon-amazon-echo-dot-with-clock-gen3
27.0,22.0,13482.0,5656.0,2.0,5.0,10.0,4.0,14.0,11.0,12370.0,4764.0,51.0,54.0,417.0,96.0,1360.0,1360.0,583.0,588.0,73.0,65.0,amazon-amazon-echo-dot-with-clock-gen3
