,packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
2706,19.0,18.0,2716.0,5496.0,2.0,5.0,2.0,3.0,6.0,10.0,1924.0,4764.0,70.0,65.0,417.0,96.0,1162.0,2720.0,398.0,843.0,71.0,80.0,amazon-amazon-echo-dot-with-clock-gen3
2707,14.0,14.0,1766.0,7367.0,1.0,2.0,1.0,5.0,4.0,7.0,1030.0,6619.0,25.0,24.0,204.0,1402.0,669.0,1402.0,245.0,580.0,81.0,71.0,amazon-amazon-echo-dot-with-clock-gen3
2708,27.0,21.0,13595.0,5616.0,2.0,5.0,10.0,3.0,14.0,10.0,12483.0,4764.0,49.0,55.0,417.0,96.0,1360.0,2715.0,583.0,842.0,67.0,81.0,amazon-amazon-echo-dot-with-clock-gen3
2709,27.0,21.0,13776.0,5616.0,2.0,5.0,10.0,3.0,14.0,10.0,12664.0,4764.0,47.0,53.0,417.0,96.0,1360.0,2715.0,584.0,842.0,65.0,71.0,amazon-amazon-echo-dot-with-clock-gen3
2710,22.0,19.0,5842.0,5536.0,2.0,5.0,4.0,4.0,9.0,11.0,4930.0,4764.0,58.0,59.0,417.0,96.0,1360.0,1360.0,584.0,588.0,68.0,72.0,amazon-amazon-echo-dot-with-clock-gen3
2711,13.0,13.0,1614.0,7276.0,1.0,2.0,1.0,5.0,4.0,7.0,930.0,6592.0,29.0,28.0,204.0,1402.0,569.0,1402.0,203.0,578.0,74.0,72.0,amazon-amazon-echo-dot-with-clock-gen3
2712,112.0,159.0,16139.0,17067.0,66.0,66.0,15.0,5.0,85.0,79.0,11627.0,10695.0,15995.0,11237.0,214.0,1360.0,1360.0,2720.0,558.0,1081.0,15956.0,11198.0,amazon-amazon-echo-dot-with-clock-gen3
2713,19.0,20.0,2716.0,5576.0,2.0,5.0,2.0,4.0,6.0,11.0,1924.0,4764.0,72.0,59.0,417.0,96.0,1162.0,1360.0,398.0,588.0,74.0,64.0,amazon-amazon-echo-dot-with-clock-gen3
2714,14.0,13.0,1945.0,6518.0,1.0,1.0,3.0,5.0,5.0,6.0,1353.0,5986.0,67.0,72.0,416.0,1360.0,561.0,2720.0,196.0,879.0,80.0,84.0,amazon-amazon-echo-dot-with-clock-gen3
2715,26.0,22.0,12549.0,5656.0,2.0,5.0,9.0,4.0,13.0,11.0,11477.0,4764.0,55.0,58.0,417.0,96.0,1360.0,1360.0,583.0,588.0,75.0,68.0,amazon-amazon-echo-dot-with-clock-gen3
2716,28.0,20.0,15259.0,5576.0,2.0,5.0,11.0,3.0,15.0,10.0,14107.0,4764.0,52.0,64.0,417.0,96.0,1360.0,2715.0,586.0,842.0,73.0,89.0,amazon-amazon-echo-dot-with-clock-gen3
2717,25.0,20.0,10064.0,5576.0,2.0,5.0,7.0,4.0,12.0,11.0,9032.0,4764.0,55.0,59.0,417.0,96.0,1360.0,1360.0,599.0,588.0,69.0,77.0,amazon-amazon-echo-dot-with-clock-gen3
2718,13.0,12.0,1694.0,7266.0,1.0,2.0,1.0,4.0,4.0,6.0,1010.0,6634.0,23.0,23.0,207.0,1402.0,646.0,2804.0,235.0,935.0,66.0,63.0,amazon-amazon-echo-dot-with-clock-gen3
