,packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
11644,14.0,30.0,1610.0,39114.0,2.0,0.0,2.0,25.0,4.0,26.0,874.0,37546.0,14.0,4.0,517.0,158.0,517.0,2876.0,197.0,406.0,27.0,21.0,amazon-fire-tv-stick-4k
11645,9.0,18.0,1345.0,24615.0,2.0,0.0,2.0,13.0,4.0,14.0,869.0,23671.0,20.0,8.0,517.0,158.0,517.0,4314.0,196.0,1338.0,26.0,22.0,amazon-fire-tv-stick-4k
11646,14.0,27.0,1601.0,38115.0,2.0,0.0,2.0,22.0,4.0,23.0,877.0,36703.0,11.0,4.0,517.0,158.0,517.0,4314.0,197.0,478.0,17.0,19.0,amazon-fire-tv-stick-4k
11647,14.0,28.0,1600.0,39010.0,2.0,0.0,2.0,23.0,4.0,24.0,864.0,37546.0,9.0,3.0,517.0,158.0,517.0,2876.0,196.0,460.0,14.0,13.0,amazon-fire-tv-stick-4k
11648,18.0,13.0,4886.0,7045.0,1.0,2.0,3.0,5.0,6.0,8.0,4110.0,6513.0,100.0,108.0,189.0,1460.0,1460.0,1554.0,607.0,677.0,158.0,150.0,amazon-fire-tv-stick-4k
11649,15.0,11.0,3212.0,5526.0,0.0,1.0,2.0,4.0,4.0,6.0,2580.0,5074.0,757.0,1005.0,186.0,1460.0,1460.0,1547.0,541.0,657.0,655.0,2601.0,amazon-fire-tv-stick-4k
11650,13.0,9.0,1268.0,7576.0,0.0,2.0,1.0,4.0,3.0,6.0,596.0,7100.0,642.0,943.0,185.0,1448.0,285.0,2130.0,65.0,846.0,545.0,2175.0,amazon-fire-tv-stick-4k
11651,17.0,15.0,1430.0,8936.0,0.0,2.0,1.0,7.0,3.0,11.0,682.0,8324.0,395.0,436.0,176.0,1460.0,380.0,1460.0,109.0,600.0,301.0,334.0,amazon-fire-tv-stick-4k
11652,20.0,19.0,1866.0,7254.0,0.0,6.0,1.0,7.0,3.0,14.0,1022.0,6482.0,406.0,415.0,190.0,96.0,706.0,1460.0,259.0,626.0,373.0,397.0,amazon-fire-tv-stick-4k
11653,18.0,18.0,1701.0,6709.0,0.0,5.0,1.0,6.0,3.0,12.0,949.0,5977.0,526.0,1157.0,190.0,96.0,633.0,1928.0,225.0,712.0,496.0,1112.0,amazon-fire-tv-stick-4k
